stage,type,presenter,content
3,answer,蔡英文,"這個謝謝主持人，剛才韓市長的問題已經在三次政見會都提了，今天再提，那我再回答你一次。
你從開始我們政見會到現在，只有一個政見就是要特偵組。
那為什麼你會提這個呢，因為你說我的政權是貪污的，我的很多人貪污的，可是你從來提不出一個證據說哪一件事哪一個人你合理地懷疑有證據可以證明他們是貪污的，就是因為你拿不出來，所以你就說要設一個特偵組查這個事情。

但是我要告訴你，特偵組只是我們偵查犯罪中一種特別的任務型的編組。我們有眾多的檢察官，每一個人都是實施偵查犯罪，我們有地方檢察署、我們有高等的檢察署，他們都實施犯罪的偵查，而且在檢察體系裡面有個很重要的原則，叫做檢察一體。就是說，凡事對犯罪的偵查時，整個體系都是一體的。換句話說，他們可以互相支援，他們不論在人力上資源上都可以互相支援，重大案件，高檢署的檢察長還可以指揮，所以沒有特偵組的必要。而特偵組，是一個，我們剛才講，在馬王政爭的時代，變成是一個東廠，被政治人物拿來清算政敵的方法。那你現在還要用同樣的方法去成立特偵組，來查你那種沒有根據的很多的指控，這就是一個政治人物最壞的典範：干預司法，而且把司法拿來當作政治鬥爭的工具。"
3,answer,宋楚瑜,"謝謝韓市長，他沒有問我有沒有貪污，我的部屬、我的家屬有沒有貪污，感謝你的肯定。這就是說省府團隊超過十萬人，我們的團隊，從副省長到秘書長到處首長，我們經手的錢，坦白講，超過上兆，每年發包和出去的工程是以十萬件為基礎，但是卻曉得，上樑正，下樑就不會歪。

所以，我最近看大陸上電視，兩天前，對岸的領導人把他的政治局的這些委員都招來，講了很重的幾句話，你要管好你自己，要管好你的家人、要管好你的部屬。

坦白講，對岸也在要求，難道我們台灣不能夠做出一個同樣的標準嗎？
那就是，坦白講，真正台灣民眾所真正為什麼懷念蔣經國先生、那個時代，那就是廉、能。

廉而不能，不行，但是只能，只曉得去Ａ這個也不行。所以廉能的基本價值：大道之行也，選賢與能啊，天下為公要選賢與能。各位鄉親啊，選一個又廉又能的人，帶領一個真正廉能的團隊，要又會做事、又不Ａ錢、還不亂抱女人，你看看，這樣的話不是很好嗎？
我們一起共同選這樣的團隊，謝謝你。"
3,question,宋楚瑜,"蔡總統、韓市長，我相信台灣人民要求的從來不是芒果乾，也不是芭樂票。宋楚瑜當年的勇，就是我在省長時開出來的政見，2097項的實現率達到了百分之八十九點七。

所以我在這邊再向鄉親承諾，我當選之後，

一、我願意每年到立法院進行國情報告。
二、我所任命的行政團隊的閣員，同一個黨籍不會超過四成
三、我在兩年之內，讓台灣重新加入，或新加入至少一個國際性的組織。
四、讓大陸觀光客恢復到每年有四百萬人次。

如果兩年內我做不到，宋楚瑜自行請辭，請問蔡總統、韓市長，您能做相同的保證嗎？"
3,answer,韓國瑜,"謝謝宋楚瑜主席的發問。回覆一下蔡英文總統要不要成立特偵組。

任何檢察官都可以偵辦貪污案件，以你們的監察委員陳師孟先生，像隻老虎一樣，連法官都約談，連檢察官都約談，一般的檢察官，敢辦總統院長跟部長嗎？

你們的陳師孟，全國一千多個法官強烈抗議，五百多個檢察官強烈抗議，
你還告訴我，，特偵組沒有必要，你還告訴全國人民，韓國瑜請舉出民進黨貪污的例證。

親愛的台灣人民，拜託總統票投韓國瑜，我當上總統立刻重啟特偵組，我來查辦民進黨這執政幾年的貪汙，很誠實的跟全國人民報告。我韓國瑜貪污、我韓國瑜叛國、我韓國瑜接受一國兩制，沒有辦法保護中華民國憲政體制，特偵組必須辦韓國瑜。
這是我們的決心、這是我們的態度
你一直在閃躲，包括你被派系綁架、新潮流綁架你，你們立法院余天都說了，你一個字都不敢說。
你被架空，你就是布袋戲，那隻手就是派系新潮流掌握的
連余天都這樣說了，你不敢講。

親愛的蔡總統，如果民進黨能夠清黨，把黨內這些癌細胞都清除，
台灣人民，你可以投票給民進黨，再給民進黨一個機會。以現在的民進黨，整個新潮流控制住了，再控制中華民國，吃香喝辣貪汙舞弊。
親愛的台灣人民，你現在真的不能投民進黨，不是民進黨在執政，是新潮流在執政，我們的蔡英文總統被架空了一個字都不敢說，太可怕了！"
3,answer,蔡英文,"謝謝韓市長，你剛才的那一番談話，聽起來好像江湖上的武俠小說的內容。

我告訴你，總統是我，閣揆是我任命的，我們的黨團有獨立的、自主的、運作的空間，民進黨也有它的獨立自主的操作的空間，所有的我們都按照憲政體制，民主的政黨政治，在一步一步走。

我剛才也跟你說過，民進黨是有史以來在所有的政黨裡面，最民主的政黨，我們內部有競爭，我們，也給大家公平的競爭的機會，但是最後我們都一定團結。

所以你剛才的那些的道聽塗說，再加上你對於宮廷的政治的這種熱愛，所想像出來的這些派系的問題，我相信，對很多人來講，就是充分顯示出來，你對民主政治跟政黨政治的不了解。

但是我，是要回宋主席的問題，國情報告沒有問題，只要立法院邀請，我就會去。這個是沒有問題的。閣員不會超過一定的比例，那我們要，選賢惟才嘛，那只要他是好的，勝任的，我們就來，那如果我們有餘裕，可以用一些不同黨籍的，那我們也來做這個事情。

至於你講到國際組織每一年要多加一個，或者是觀光客達到四百萬人次，我覺得我們大家都可以盡力來、努力來做，但是我覺得如果我們設定的目標，而且是強力的要去達成的時候，我們必須要注意到說，這個時候，你在主權的問題上，你會不會堅持我們對於國家的主權跟我們的民主生活的方式會不會受到影響？中國會拿觀光客，還有經貿的問題，和國際組織的問題，讓我們要在主權上退讓。"
3,question,蔡英文,"一個政治人物喔，絕對是不可以信口開河，但是我們看到韓市長，從政見發表會到我們今天的辯論會，我們聽到了他很多很多，信口開河的說法。那，韓市長也一再的被批評是，他常常改口，也背棄承諾。

關於選總統，一開始你說，絕對做好市長，絕不會溜之大吉，國民黨提名的時候你又說被動參選，初選開始的時候你說 yes I do.

你的誠信已經破產了。而一個星期前高雄市民不滿意你落跑，上街抗議，你卻辱罵他們說是遮羞布，請問你覺得誠信重要嗎？不管做總統，還是你要回去做市長，你要如何重建你已經殘破不堪的誠信呢？

同樣問題我請宋主席表示意見。"
3,answer,宋楚瑜,"非常感動的是剛剛蔡總統回答了我的問題。

那就是我們必須要讓人民覺得，我們不是超級大總統，我們必須要讓人民曉得，你重大的政策，特別是兩岸的問題，我們應該要向人民好好地去說明。因此我才提出來，我們要到立法院去向人民報告。

你特別提到的話，政治人物不可以信口開河，沒有錯，說到一定要做到，這就是我剛剛一開場的時候，我最先提出來，蔡總統你曾經承諾過，那就是還權於民的一些基本的思維。您當時對於馬總統時代的那些作為不以為然，那就是不能夠自我感覺良好，但是很顯然的，很多的這些承諾的事情，當然在執行上會有困難，但是不要忘了，總統就是那個最重要的平台。

你必須要去整合好多的這些不同的意見，甚至於黨外的意見，大家一起好好溝通，台灣會有今天的自由民主的制度，不就是當年大家跨黨派的，能夠好好去合作嗎？剛剛你最先答覆我一個問題說，我曾經給你很多的合作，不要讓大家誤解我又跟綠營戴上了一個綠帽子，我沒有完全啊是都聽你的。重要很多的事情，像一例一休的問題，你沒有請教過我，
第二個，軍改的問題，年改的問題 我雖然跟陳副總統有交換一下那個意見，但是那個操盤的"
3,answer,韓國瑜,"謝謝蔡英文總統的提問，認為我信口開河。對不起，我不敢看，我也不敢認為蔡英文總統格局太小。我只能說，幫你寫讀稿機這些幕僚，格局太小。三場政見會，從我太平島挖石油，到我家裡的事情，到摩天輪，今天到了高雄市的問題，等等等不勝枚舉。我有時候都糊塗了，因為你在讀稿的時候 到底是誰提供這些資料給你。妳一個指頭指著我的時候，你怎麼沒有想到你三個指頭在指著你自己。

你的跳票何其多啊，你對勞工，心中最軟你跳票了嗎？

你說台灣不缺電，你跳票了嗎？
你對工商企業、全國人民講謙卑謙卑再謙卑，我們看到反滲透法，你有謙卑嗎？我們看到的是獨裁獨裁再獨裁。
你看到高雄，你看到選舉的支票，你兌現了嗎？
你對得起高雄鄉親嗎，你對得起林園的鄉親嗎？

你承諾給台灣人民幸福快樂的四年。台灣人民啊，如果你覺得過去蔡英文總統執政，你很快樂、很幸福，拜託，２０２０年你一定要投蔡英文總統，不投，沒有天理啦！
如果你覺得不快樂，不幸福，拜託，你投票給韓國瑜，這是非常公平的啊。
你的跳票紀錄太多，妳的小編，可能就從報紙上，以及1450的網路上撿了資料，讓你來，這麼堂堂正正的總統政見會和辯論會來，修理韓國瑜，格局之小啊，真的，讓我覺得，對蔡總統我都覺得不知道該信任還是不該信任你的格局。我知道你的用人我是完全不信任。派系綁架余天認證，你還是一個字不說。請大家看清楚。"
3,question,韓國瑜,"謝謝。各位親愛的台灣人民
我要問我們兩位，總統候選人

柯P總統、柯P市長，不是柯P總統，要等2024年看看有沒有機會阿。

他說過去一年2018年民進黨慘敗，民進黨治理國家執政沒有進步半步，除了網軍有進步之外。
柯Ｐ，說跟我一模一樣的話，新潮流不倒，台灣不會好。
柯Ｐ又說，民進黨執政把司法當作工具，這樣對台灣人民好嗎？
我為什麼要把柯 P 的話講出來，不管喜歡柯文哲不喜歡柯文哲，
但是柯文哲講的話，時常都是發自內心的實話。

蔡英文總統，你要怎麼跟台灣人民交代，台灣人用四個字表達你的執政

苦、忙、翻、亂
如果你連任，未來四年
台灣人民會過得多麽的更辛苦？請你表述一下"
3,answer,宋楚瑜,"韓市長所提出來的這個問題，也是現在我們現在台灣民主發展未來非常重要的一個主題。
我們一方面要對於人民自由發言的言論我們要予以尊重，

但是我們必須要有次序，這就是親民黨我們黨的那個標誌
一個方的、一個圓的，方圓之間，成就台灣。
無規矩不成方圓，而方圓之間如果不能夠有一些基本的規範，我們台灣會自己內亂。

所以我們台灣在這些資訊業非常發達的這個過程當中，
我們將來也需要有一個基本的規範
而這個規範不是執政的人在單獨下一個決定。
我非常了解得到，韓市長心裡很難過的是，黑韓的那個網軍很厲害，那另外一方面，我不是就是也一樣的，被人家黑的那個對象了嗎？
坦白講 這個 一定將來 我們應該好好 把這個事情
當一個，我們共同三個人的承諾，那就是不管未來是誰當選，台灣未來的網路的制度上面，我們要制定新的好好的一個規範
讓大家覺得，我們可以有一些發言，我們可以有一些表述，但是不能夠越過一些基本的規矩。

所以因此我承諾，我把這個事情當一回事，
但是絕不是單獨由一個黨在做決定，一定大家共同好好商量，謝謝。"
3,answer,蔡英文,"謝謝主持人。
剛才韓市長談到這個高雄選舉的事情
我想高雄市的選舉，韓市長應該是在那個時候，在中國的網軍的介入我們的選舉，還有很多在網路上操作的一些，勢力，而給了我們韓市長最大的助力，你應該是網軍的最大的受益者。

你對於這個去年選舉，人盡皆知，從中國的網軍水軍大舉支持你，這件事情，你從來都沒有談過，也從來都沒有回應過。另外，我也要想問你一下，曾永權也有借給你網軍過，請問那個網軍在哪裡呢？徐泓庭說要發動網軍肉搜員警的網軍，又是怎樣的網軍呢，是國民黨的還是你的呢？

涉嫌不當使用，而且散佈假訊息，被臉書刪除支持你的上萬的～人的社團，這也是國際認證的網軍。

你要曉得這些網軍，在網路上是如何的造假、如何的抹黑，甚至霸凌，我們很多的政治人物，甚至不是政治人物，他只是一個意見領袖，甚至他不是意見領袖，他只是一個很單純的市民表達他的意見，都會被霸凌。你有沒有聽說過，邱議瑩因為，表達了一個立場，他的臉書被上百萬人，洗版，這是何等嚴重的事情。

所以我非常同意宋主席所講的事情，這個，不論是誰當總統，不論是誰是在野的，我們都應該大家一起來處理這樣的事情，不是嗎。"
3,question,宋楚瑜,"我相信我們都堅持任何改變台灣前途的決定，都必須要經過台灣兩千三百萬我們台灣人民的同意。

蔡總統您曾經宣示，將依據中華民國憲法、兩岸人民關係條例和其他相關法律來處理兩岸的關係

所以你也接受中華民國憲法增修條文對兩岸目前現狀的地位，我要請教蔡總統，你的國家定位和兩岸定位到底是什麼？
這是大家都非常關切的問題，
我給您一個機會，您正式做一些表述。

韓市長你說民進黨開政府發大財，我要請問您如何處理
那個連大陸都承認了，國民黨那些買辦在大陸一個很大的產業鏈，您將來會怎麼處理。"
3,answer,蔡英文,"謝謝宋楚瑜主席的問題
沒有錯，我說過我做總統會遵循我們現行的中華民國憲政體制，那麼當然這也包括增修條文都沒有錯。

但台灣是一個民主的社會，人民的意見是最重要的。我們的憲政體制，跟我們的憲法條文，要怎麼樣去適用，這要尊重我們的人民的意志跟我們大法官的解釋。所以，在這個原則之下，我擔任總統，我，也會按照憲法的條文、按照人民的意志，來作為我執政的一個基礎。

國家定位，兩千三百萬人在這裡，國名叫做中華民國，主權在兩千三百萬借借人的手上，這樣還不夠清楚嗎？

那麼剛剛，韓市長，有講過，說我在陸委會期間說了什麼，你講的那兩件事，一件是錯誤的報導，我們已經澄清了；一件是我在闡述，在兩千年，陳水扁總統在就職典禮上講的四不一沒有，他當時有一個四不一沒有，他的條件是，中國沒有企圖用武力犯台，但是中國從來沒有放棄對台灣的武力犯台，所以，我們，在講的未來一中，就是共同處理未來的一中，根本是沒有條件的存在。所以那是2000年的時候的背景，講的，是沒有中國的動武的企圖的情況，我們共同處理未來一中的問題。"
3,answer,韓國瑜,"謝謝

蔡英文總統所講的，我從中國網軍獲得巨大的政治利益，網軍，讓我在選舉得到了幫助。

此時此刻我的心情，感覺我是善良的小白兔遇到了大野狼。
蔡英文總統，你的網軍，妳所培養的是大野狼。
現場不就有賴清德嗎？他被妳的網軍打得趴在地上的時候，妳怎麼一個字都不說。
楊蕙如，養網軍扮演了上帝的角色，說誰是好人，誰是壞人，由網軍在鍵盤上打來決定，逼死了外交官，你為什麼一個字不說呢？

你為了讓台灣人民相信我有境外網軍，還扣了一個曾永權來，說他的網軍借給我。蔡英文總統，不要說蔡～曾永權的網軍沒有借給我，他連襪子跟衣服都沒有借給我過。

簡直那玩笑開大了，你們用納稅人的錢去養網軍被抓出來，完全裝著，不知道。
駐日本大使謝長廷緊急趕回台灣，要幹什麼，是不是楊蕙如的事情爆發了？不知道。
廣大的台灣人民被網路，年輕人被洗腦帶風向，
你一個字都不說，我都不知道你的小編跟幕僚幫你寫那些稿子，讓你在這裡讀稿的時候，你內心到底是踏實還是不踏實。

你完全狀況外，你就是網軍最大的受惠者啊。如果沒有網軍幫你民進黨黨內初選，今天這裡跟我總統辯論的應該是賴清德啊，他民調贏妳20%，被你網軍打垮了。
真的，我多渴望跟賴清德來一場君子之爭，而不希望跟你口水之爭，而且一直被你抹黑、一直被你扭曲。謝謝。"
3,question,蔡英文,"好，韓市長，你的國政顧問團提出2035的計畫，我不知道你看過沒有。

你知道你自己的能源比例，到2035年，的計畫裡面，要用多少核電嗎？
我幫你算過，你的計畫中，核能要佔百分之25，遠遠超過現在的10%
所以不只馬總統封存的核四要重啟，還要再蓋核五、再蓋核六。

核四要重啟你知道要花多少錢嗎，多少時間嗎？
你有問過新北市的侯市長他同不同意嗎？

還有核五核六要蓋在高雄嗎，還是要蓋在哪裡？

最重要的是，核廢料又要放在哪裡呢
韓國瑜說今天台中的造勢要帶口罩
那新北市造勢的時候，是不是大家都要穿核能的防護衣呢？

所以這一點請回答，也請宋主席表達意見。"
3,answer,韓國瑜,"謝謝蔡英文總統，蔡英文總統提到核能政策
我對核能的態度，又善用了一些迷惑的手段
請問核五核六核七核八韓國瑜當總統要蓋在哪裡？
我保證核五核六核七核八不會蓋在我家也不會蓋在你家。
講這個一點意義都沒有。
今天歐盟都通過了，核能，要把它視為綠能，連德國環境部長都在思考，能源部長，德國這麼先進，全世界最強的工業強國，用電量是全歐洲最大的，他都認為，他們放棄了核能，是正確還是錯誤。

親愛台灣同胞，親愛台澎金馬的好朋友，我們用核能，有兩個條件，

第一，安全絕對不能有問題
第二，廣大的人民同意

結果，核四公投通過，你蔡英文總統理都不理，直接沒收，然後你還口口聲聲你是最民主的，我們能源政策非常清楚，
如果人民同意安全沒問題，我一定會重啟核四，
我再說一遍，沒有模糊空間，我不會去騙人家，來騙選票，我就是要做。
而且我們的能源政策一定會針對這些台中火力廠，為什麼這些煤炭這樣燒，這裡面誰在賺暴利，一年幾千億煤炭的錢
我上次就提醒你
你總統要成立專案小組，最適合的就是特偵組，
去查誰在買賣這些煤炭，合理的商人保障他，
在裡面上下其手大撈特撈，花貴的錢燒爛的煤，傷害我們整個台灣人的肺，這些黑心商人，你要把他抓出來，有沒有官商勾結，我的能源政策非常清楚，用以核養綠，繼續來慢慢發展。
將來核能價格降低，我們再來大量使用。謝謝。"
3,answer,宋楚瑜,"做為國家的領導人，必須瞭解，台灣雖然號稱是寶島，但台灣並不是一個天然資源非常豐富的國家。

我們必須要了解得到，台灣必須要發揮我們整合的能力。

剛剛特別提到了，就是一個電的問題

蔡總統您的大南方計畫，特別提到我們要發展航運，我們要農業外銷，我們要有聚落，甚至我們要有觀光，

但是，難道，單獨一項叫做聚落，我們那個五缺的問題 難道只有缺電嗎？我們其他的四缺到哪裡去了？
那就是，我們也沒有水，我們也沒有勞工，我們的人才也缺，但是我們的土地的取得也很難。

五缺的問題之外，坦白講，最重要缺的是一個領導，我們怎麼去整合、訂定好的政策，把這些問題去處理好？

國民黨當年用戒急用忍，就把所有船都進不來
韓市長講船要進來，貨要出去，
為什麼我們錯誤的政策造成台灣今天的落後。

剛剛。鄒女士跟我問，這二十年來，台灣為什麼持續沉淪，那就是沒有掌握正確的方向，沒有一個堅強的領導，那個領導本來就是一個平台。

說話要算話之外，不是只有一個核四的問題。核四廢料放在蘭嶼，蘭嶼到了夏天卻沒有電要停電，你不是覺得很諷刺嗎？謝謝。"
4,conclusion,蔡英文,"謝謝。

主持人，提問人，我們宋主席，韓市長，全體的國人同胞。

還記得在1994年的台北市長選舉大家印象最深刻的一句話，就是中華民國要滅亡了。

後來台灣的每一次的大選，這句話也是常常被特定陣營拿來作為競選的主軸。

25年過去了，中華民國依然是中華民國，當年的小嬰兒，現在都已經大學畢業了。

25歲的年輕人在這一次的選舉，他們可以投國民黨、可以投民進黨、也可以投第三勢力，但是沒有人可以否認，他們對於主權、土地、民主、自由的熱愛。

不知道我的兩位競爭對手有沒有想過，如果再來一個25年，當人們回頭看這場選舉時會如何評價我們的表現？看誰在討論國家大政，誰只有信口開河？我想事實已經很清楚了。

我有自信，在這一場選舉當中，我是花最多時間講政見的候選人，我也是最努力實現我2016年政見的總統。我要努力告訴大家，四年來我做了什麼，未來的四年，我還要努力做什麼。

宋主席，韓市長，我們三個人年紀加起來超過兩百歲，但是不要忘記，我們競選總統的目的是為了年輕人的未來而戰。

台灣有很多的挑戰，年輕人需要知道下一任總統是否有能力因應國內外局勢的劇烈變化，下一任總統是不是有能力改革各種累積已久的問題，包括經濟財政能源司法教育，下一任總統是不是有能力打造一個全齡照護的體系，包括幼托，包括長照的問題。

最重要的是，下一任總統是不是有能力捍衛國家的主權和守護民主。

不要小看年輕人，他們要的不是只是一場表演而已。

蔡英文不是一個很有趣的人，我不會慷慨激昂，也沒有辦法隨時哽咽，更不會跪著走路，製造娛樂的效果。但是蔡英文知道，在做中華民國台灣的總統的時候，必須要挺直腰桿，在國家被威脅的時候，捍衛尊嚴。

這三年多來，我做了很多工作都是千頭萬緒、工程浩大，但也都有了重要的進展，因為我不怕挑戰，我也沒有私心。人民最討厭領導人信口開河，沒有誠信，領導人就是要重視承諾，拿出執行力，扛住壓力達成目標。

畫大餅的政治，不是我的政治，我的政治是扎扎實實，把餅揉出來，烤出來，端上桌。

這70年來中華民國台灣面臨很多挑戰，但是我們不只是挺過來了，而且把危機化成了轉機。

從823炮戰到96年的台海危機，從87水災到921震災，從SARS風暴到非洲豬瘟來襲，從中國磁吸效應到美中貿易戰到台商的回流。
每當台灣面對困難，台灣人民走出困境的方法就是「團結」，這兩個字就是中華民國不會滅亡的關鍵，就是台灣走向世界的動力。只有團結，我們才能抵擋一國兩制的壓力，才能保有一個幸福尊嚴自由民主的國家。

面對中國的挑戰、不會停住，不會讓台灣變成下一個香港。
面對瞬息萬變的國際情勢，我有足夠的專業跟智慧為台灣找到出路。我們在這個此時此刻，我們需要的就是這樣的總統。

下一個四年請讓蔡英文帶領台灣，把這個充滿希望的國家留給未來的台灣子孫。

擔任總統三年多來，我知道我並不完美，施政也還很多要精進的地方，但相信大家也看到民進黨蔡英文會不斷的進步，去年我們選不好，我們把它當作是人民對我們的提醒，我們反省、檢討、我們改變，因為民進黨上下都知道，台灣人沒有欠民進黨，但民進黨絕對不能辜負台灣。請支持三號蔡英文，謝謝。"
4,conclusion,宋楚瑜,"謝謝蔡總統和韓市長。我剛剛聽到蔡總統的最後的談話，我必須很誠懇地跟蔡總統說，你給人民畫了很大的夢，也很想做事，但是很坦白地講 ，您背後的那些派系，他們所作所為，
不只是國民黨提出不同的見解，我也必須說，對於他們的所作所為，
特別是豪取巧奪的那種方式，霸佔國家的名器****，大家都有維持。

坦白的說，在這一年當中，國民黨曾經慘敗過。
但是，如果不是蔡總統，你撿到大陸在香港給你的槍，
然後你這次又用反滲透法，又在讓人民產生一些畏懼感，

坦白講，我們目前兩岸的關係和台灣的未來發展是讓大家憂慮的。
沒有錯，我們作為一個政治人物腰桿要站得直。

宋楚瑜從來在大陸上沒有去要過一分錢。
我的子女也沒有在大陸上也沒有任何的經商和任何的這些發展。
我特別提到我的兒子，我的兒子只有跟我去過兩次大陸，一次是回家掃墓，一次去看了一次奧運，十幾年來他都沒有去過一次、我的媳婦連一次都沒有去過大陸。

我為什麼要這樣講，那就是我今天可以對兩岸問題上面能夠做
這麼樣強烈而有根有據的發言，
我不是為了自己的家族，或者是任何黨的利益。

今天在座的張昭雄先生，跟我一起奮鬥，他曾經講了一句話讓我很感動，他跟我二十年來，他穿的白顏色的那個醫生的服裝到今天上面沒有一點點汙點
，什麼原因，
那就是我們盡心盡力的要為台灣打出一條道路。
做總統的責任，就是要發揮台灣的三大優勢，就是
地理位置的優勢、人文素質的優勢，更重要的是民主制度的優勢。
我們要把握三大核心，那就是核心的價值、核心的戰略、核心的管理，而堅定三大立場，穩定兩岸的和平關係，確保台灣的自由，民主的體制，國家人民的利益要放在政黨的前面。

誠實地面對歷史，務實地面對未來，堅持中有彈性、彈性中有原則，兩岸之間要知己知彼也要異位思考。

有個電影，冰雪奇緣，有一句經典的話，那就是
當一個人看不清未來的時候，他唯一能做的事，就是
走好當下的路，做好該做的事，
when one can see no future, all one can do is the next right thing.

您就是我的頭家，各位鄉親們。咱的頭家啊！咱台灣要選一個會做事的人把你當頭家！不是只有在選舉的時候，你當一天頭家，後面你就變成政府的冤家。

我們要好好地重新來思考我們很多的問題，台灣有今天的成就，不是排斥任何外來的文明，我們要珍惜中華文明，因為我們台灣能發展，是要用加法跟乘法，而不是除法跟減法。

我從政以來有很多不同的政治上面見解的朋友，但是我們能夠變成相知相惜的好朋友，因為我們都有一個共識，那就是雖然我們可能有不同的過去，但是我們卻有共同的未來，那就是台灣的人希望永保自由民主，但是要做一個驕傲的台灣人，更能夠對對岸說我不但能夠讓台灣好，站得起來，我要讓世界亮起來，讓台灣真正的經驗發光，謝謝大家。"
4,conclusion,韓國瑜,"謝謝蔡英文總統、謝謝宋楚瑜主席，我們一起同台三場的政見發表、一場辯論，大家都有非常美好的一部分生命的回憶。

謝謝台灣的民眾，所有電視機前面、網路上所有的好朋友，你能不能把眼睛閉起來一下，好好思考一下，我們過去這三任總統，二十年來，到底台灣今天的處境是如何？

各位親愛的閉著眼睛的好朋友，二十年來所有的總統全部是台大法律系畢業。台大法律系畢業當法官、檢察官、當律師，全國最優秀，但是台大法律系畢業的好像不太會當總統，越當越差。

台灣的情況，「王小二過年，一年不如一年。」

陳水扁什麼都好，敗在一個字，貪。陳水扁是三級貧戶，做了中華民國總統，歷代子子孫孫都會覺得以他為光榮驕傲，這多麼勵志、多麼感人，敗在一個字，貪。

馬英九總統什麼都好，學問也好、做人也好，敗在一個字，軟弱的軟。

蔡英文總統，不客氣地說，你什麼都好，你敗在一個字，空，架空的空。

我想這三年半我一直去想，你的執政我要怎麼去形容，就好像去夜市點一碗蚵仔麵線叫過來，這麼大一碗我找不到蚵仔。

你都用讀稿機，你沒有中心思想，你用你的幕僚寫的稿子來念，你沒有辦法勇敢面對人民，人民跟你隔的越來越遠，全部是你的安全人員。

各位親愛的台灣同胞，我們現在2020年還要台大法律系的當總統嗎？不能換人嗎？請各位台灣我們所有的人民，所有的好朋友們去思考一下。

第二，什麼人能當總統，大家說韓國瑜長得真不像總統的樣子。美國第一任總統華盛頓，現在總統叫川普，各位鄉親，把幾十個總統照片拿出來，哪一個像總統？

三十年來，台灣中華民國，三十年前的總統蔣經國，身材五短，脖子短、四肢短。換了一個五長身材李登輝，脖子長、四肢長。再換個五短陳水扁，再換個馬英九五長。蔡英文總統在這裡我不好意思講，應該算身材算勻稱，不長不短。

各位親愛台灣同胞，什麼人像總統？總統該像什麼樣？

第三，總統可以跟大企業家在餐廳吃牛排喝紅酒，當了總統不能跟小老百姓吃滷肉飯嗎？總統可以代表國家接見外賓溫文儒雅，總統不能到路邊攤，熱炒100塊錢喝杯啤酒，跟大家老百姓唱卡拉ok嗎？當然可以！

我們腦袋壞掉了、綁掉了，認為總統高高在上。錯！韓國瑜當總統保證跟庶民在一起。沒有誰像總統，沒有誰不像總統。

中華民國的總統說難不難、說容易不容易，但是擔任公職，上到總統，下到村里長，做好三件事你就是最棒的總統。

不要選了總統、做了總統還搞不清楚總統怎麼幹。親愛的台灣鄉親、台灣同胞，認同我，去思考一下，第一，總統要確定國家發展目標，韓國瑜當總統目標非常清楚，台灣安全，人民有錢。

第二，總統要以身作則，不貪不取。

第三，用一個清廉有效率的團隊，把優秀的人才、適當人才放到那位置。經濟部、國防部、交通部、外交部，放好，監督他。一旦確定了目標，全部兩千三百萬往前衝，以身作則帶領團隊，怎麼會不成功？

這三年半，台灣人民過得太辛苦、太悶了。孫悟空陪唐三藏西天取經戴個了金箍咒，兩千三百萬人現在都戴金箍咒，為什麼我們不快樂，我們好悶。

這麼燦爛的一個台灣怎麼會變這個樣子咧，我不服氣。

韓國瑜當總統，各位台灣鄉親、台灣同胞你信任我，讓我立法院過半，我保證讓台灣欣欣向榮，一片快樂，快樂的台灣、快樂的台灣人。請給我一個機會，我做不好四年後讓我滾蛋，支持總統，支持國民黨立委，謝謝大家。"
